"title","description","image_url","destination_url"
"Киллиан Мерфи №2","Киллиан Мерфи №2. акрил · 50×50 см. Можно купить, 30 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/48-img_5151.png","https://vichkunina.art/work/48/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_48_view_1"
"Киллиан Мерфи №2 — ещё один ракурс","Киллиан Мерфи №2. акрил · 50×50 см. Можно купить, 30 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/48-img_5201.png","https://vichkunina.art/work/48/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_48_view_2"
"Барашек, исполняющий желания","Барашек, исполняющий желания. масло · 30×40 см. Можно купить, 10 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/47-2026-07-22-01.jpg","https://vichkunina.art/work/47/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_47_view_1"
"Барашек, исполняющий желания — ещё один ракурс","Барашек, исполняющий желания. масло · 30×40 см. Можно купить, 10 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/47-2026-07-22-02.jpg","https://vichkunina.art/work/47/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_47_view_2"
"Ирисы","Ирисы. акварель · 30×40 см. Можно купить, 4 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/46-2026-07-11-01.jpg","https://vichkunina.art/work/46/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_46_view_1"
"You're my angel","You're my angel. масло · 20×15 см. Можно купить, 6 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/45-2026-07-05-01.jpg","https://vichkunina.art/work/45/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_45_view_1"
"You're my angel — ещё один ракурс","You're my angel. масло · 20×15 см. Можно купить, 6 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/45-2026-07-05-02.jpg","https://vichkunina.art/work/45/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_45_view_2"
"Томми Шелби","Томми Шелби. масло · 50×50 см. Можно купить, 30 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/06-2026-03-09-01.jpg","https://vichkunina.art/work/6/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_6_view_1"
"Томми Шелби — ещё один ракурс","Томми Шелби. масло · 50×50 см. Можно купить, 30 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/06-2026-03-09-04.jpg","https://vichkunina.art/work/6/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_6_view_2"
"Третий лишний в Хогвартсе","Третий лишний в Хогвартсе. масло · 50×40 см. Можно купить, 35 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/15-2025-11-07-01.jpg","https://vichkunina.art/work/13/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_13_view_1"
"Третий лишний в Хогвартсе — ещё один ракурс","Третий лишний в Хогвартсе. масло · 50×40 см. Можно купить, 35 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/14-2025-11-08-01.jpg","https://vichkunina.art/work/13/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_13_view_2"
"Планета Миллер","Планета Миллер. масло · 50×70 см. Можно купить, 50 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/18-2025-09-08-05.jpg","https://vichkunina.art/work/18/1/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_18_view_1"
"Планета Миллер — ещё один ракурс","Планета Миллер. масло · 50×70 см. Можно купить, 50 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/18-2025-09-08-01.jpg","https://vichkunina.art/work/18/2/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_18_view_2"
"Майк Вазовский!","Майк Вазовский!. масло · 10×10 см. Можно купить, 2 000 ₽. Автор — Дарья Вичкунина, Санкт-Петербург. Фотографии и сведения о работе — на сайте.","https://vichkunina.art/images/gallery/12-2025-11-16-01.jpg","https://vichkunina.art/work/12/?utm_source=pinterest&utm_medium=social&utm_campaign=gallery_autumn_2026&utm_content=work_12_view_1"
